twelfth,month name,Year,moonsign,moon,sun,mercury,venus,mars,jupiter,saturn,uranus,neptune,pluto,eris,,,,,
0,march,2020,scorpio,1,0,0,0,0,0,0,0,0,0,0,,,,,
1,march,2020,sag,1,0,0,0,0,0,0,0,0,0,0,,,,,
2,march,2020,cap,1,0,0,0,1,1,1,0,0,1,0,,,,,
3,march,2020,aquarius,1,0,0,0,0,0,0,0,0,0,0,,,,,
4,march,2020,pisces,1,0,1,0,0,0,0,0,1,0,0,,,,,
5,march,2020,aries,1,1,0,0,0,0,0,0,0,0,1,,,,,
6,march,2020,taurus,1,0,0,1,0,0,0,1,0,0,0,,,,,
7,march,2020,gemini,1,0,0,0,0,0,0,0,0,0,0,,,,,
8,march,2020,leo,1,0,0,0,0,0,0,0,0,0,0,,,,, 
9,march,2020,virgo,1,0,0,0,0,0,0,0,0,0,0,,,,,
10,march,2020,libra,1,0,0,0,0,0,0,0,0,0,0,,,,,
11,april,2020,scorpio,1,0,0,0,0,0,0,0,0,0,0,,,,,
12,april,2020,sag,1,0,0,0,0,0,0,0,0,0,0,,,,,
13,april,2020,cap,13,0,0,0,0,25,0,0,0,24,0,,,,,
14,april,2020,aquarius,8,0,0,0,10,0,1,0,0,0,0,,,,,
15,april,2020,pisces,2,0,0,0,0,0,0,0,19,0,0,,,,,
16,april,2020,aries,8,0,16,0,0,0,0,0,0,0,23,,,,,
17,april,2020,taurus,2,3,0,0,0,0,0,6,0,0,0,,,,,
18,april,2020,gemini,8,0,0,16,0,0,0,0,0,0,0,,,,,
19,april,2020,cancer,3,0,0,0,0,0,0,0,0,0,0,,,,,
20,april,2020,leo,12,0,0,0,0,0,0,0,0,0,0,,,,,
21,april,2020,virgo,10,0,0,0,0,0,0,0,0,0,0,,,,,
22,april,2020,libra,10,0,0,0,0,0,0,0,0,0,0,,,,,
23,may,2020,scorpio,10,0,0,0,0,0,0,0,0,0,0,,,,,
24,may,2020,sag,10,0,0,0,0,0,0,0,0,0,0,,,,,
25,may,2020,cap,8,0,0,0,0,27,0,0,0,24,0,,,,,
26,may,2020,aquarius,4,0,0,0,29,0,1,0,0,0,0,,,,,
27,may,2020,pisces,11,0,0,0,1,0,0,0,20,0,0,,,,,
28,may,2020,aries,5,0,0,0,0,0,0,0,0,0,24,,,,,
29,may,2020,taurus,10,0,0,0,0,0,0,7,0,0,0,,,,,
30,may,2020,gemini,5,2,21,19,0,0,0,0,0,0,0,,,,,
31,may,2020,cancer,1,0,0,0,0,0,0,0,0,0,0,,,,,
32,may,2020,leo,9,0,0,0,0,0,0,0,0,0,0,,,,,
33,may,2020,virgo,7,0,0,0,0,0,0,0,0,0,0,,,,,
34,may,2020,libra,5,0,0,0,0,0,0,0,0,0,0,,,,,
35,june,2020,scorpio,4,0,0,0,0,0,0,0,0,0,0,,,,,
36,june,2020,sag,4,0,0,0,0,0,0,0,0,0,0,,,,,
37,june,2020,cap,2,0,0,0,0,26,0,0,0,24,0,,,,,
38,june,2020,aquarius,12,0,0,0,0,0,1,0,0,0,0,,,,,
39,june,2020,pisces,7,0,0,0,19,0,0,0,20,0,0,,,,,
40,june,2020,aries,1,0,0,0,0,0,0,0,0,0,24,,,,,
41,june,2020,taurus,7,0,0,0,0,0,0,9,0,0,0,,,,,
42,june,2020,gemini,1,0,0,6,0,0,0,0,0,0,0,,,,,
43,june,2020,cancer,9,1,14,0,0,0,0,0,0,0,0,,,,,
44,june,2020,leo,6,0,0,0,0,0,0,0,0,0,0,,,,,
45,june,2020,virgo,4,0,0,0,0,0,0,0,0,0,0,,,,,
46,june,2020,libra,2,0,0,0,0,0,0,0,0,0,0,,,,,
47,june,2020,libra,16,0,0,0,0,0,0,0,0,0,0,,,,,
48,july,2020,scorpio,1,0,0,0,0,0,0,0,0,0,0,,,,,
49,july,2020,sag,13,0,0,0,0,0,0,0,0,0,0,,,,,
50,july,2020,cap,24,0,0,0,0,23,29,0,0,23,0,,,,,
51,july,2020,aquarius,7,0,0,0,0,0,0,0,0,0,0,,,,,
52,july,2020,pisces,3,0,0,0,0,0,0,0,20,0,0,,,,,
53,july,2020,aries,9,0,0,0,8,0,0,0,0,0,24,,,,,
54,july,2020,taurus,3,0,0,0,0,0,0,0,0,0,0,,,,,
55,july,2020,gemini,9,0,0,12,0,0,0,0,0,0,0,,,,,
56,july,2020,cancer,5,26,7,0,0,0,0,0,0,0,0,,,,,
57,july,2020,leo,2,0,0,0,0,0,0,0,0,0,0,,,,,
